french,spanish
enceinte,embarazada
faux,falso
mensonge,mentira
droitier,diestro
embêter,molestar
déranger,fastidiar
faire rire,dar risa
à côté,al lado
je les ai faits,los he hecho
les travaux,las obras
un moment,un rato
pour une fois,por una vez
being used to,soler
économiser,ahorar
au travers de,a través de
chacun,cada uno
printemps,primavera
automne,otoño
hiver,invierno
mouton,oveja
cochon,cerdo
lapin,conejo
lion,león
ours,oso
grenouille,rana
cigogne,cigüeña
dauphin,delfin
mince,delgado
petit,bajo
grand,alto
jambe,pierna
poisson,pece
jaune,amarillo
bleu,azul
poignée,mango
lavabo (sdb),lavamanos
sink / évier,lavaplatos
blanc d'oeuf,clara de huevo
yolk / jaune d'oeuf,yema
abeille,abeja
guêpe,avispa
mouche,mosca
la vue,la vista
oeil,ojo
oreille,oreja
nez,nariz
brun (cheveux),moreno
blond (cheveux),rubio
les poils,el vello
frigo,nevera
machine à laver,lavadora
poêle,sartén
bouilloire,tetera
casserole,olla
fourchette,tenedor
couteau,cuchillo
cuiller,cucharra
la pièce (maison),cuarto
voisin,vecino
chambre,dormitorio
draps,sábanas
matelas,colchón
oreiller,almohada
couverture,cobija
chaise,silla
brosse à dents,cepillo de dientes
this / ce,este
this / cette,esta
that / ce,ese
these / ces,estos
that / cette,esa
those / ces,esos
encore / still,todavía
