french,spanish
to eat,comer
j'ai étudié,he estudiado
il est en train d'étudier,está estudiando
j'étudie,estudio
tu étudies,estudias
il étudie,estudia
nous étudions,estudiamos
ils étudient,estudian
vous étudiez,ustedes estudian
je cherchai,busqué
je parlai,hablé
tu parlais,hablaste
il parlait,habló
nous parlions,hablamos
ils parlèrent,hablaron
je parlerai,hablaré
tu parleras,hablarás
il parlera,hablará
nous parlerons,hablaremos
ils parleront,hablarán
je mange,como
tu manges,comes
il mange,come
nous mangeons,comimos
ils mangent,comen
je mangeai,comí
tu as mangé,has comido
vous êtes en train de manger,ustedes están comiendo
tu mangeais,comiste
vous mangiez quoi?,que comían?
vous avez mangé quoi?,que han comido?
il mangea,comió
nous mangeâmes,comíamos
ils mangèrent,comián
je mangerai,comeré
tu mangeras,comerás
nous mangerons,comeremos
ils mangeront,comerán
il est en train de vivre,está viviendo
il a vécu à Madrid,ha vivido en Madrid
vivre,vivir
je vis,vivo
tu vis,vives
il vit,vives
nous vivons,vivimos
ils vivent,viven
je vécus,viví
tu vécus,viviste
il vécut,vivío
nous vécûmes,vivimos
ils vécurent,vivían
je vivrai,viviré
tu vivras,vivirás
il vivra,vivirá
nous vivrons,viviremos
ils vivront,vivirán
andar,marcher
je marchai,anduve
tu marchas,anduviste
il marcha,anduvo
nous marchâmes,anduvimos
ils marchèrent,anduvieron
il a su,ha conocido
je vendrai,venderé
tu vendras,venderás
il vendra,venderá
nous viendrons,vendremos
ils vendront,venderán
