french,spanish
amener,traer
il est en train d'amener,está trayendo
vous avez ramené,ustedes han traído
vous avez ramené quoi,que trajeron
j'amène,traigo
j'amenai,traje
tu amenas,trajiste
il amena,trajo
we brought,trajimos
they brought,trajeron
j'amènerai,traeré
je suis en train de venir,estoy viniendo
je viens,vengo
tu viens,vienes
il vient,viene
ils viennent,vienen
I came,vine
you came,viniste
he came,vino
we came,vinimos
they came,vinieron
je viendrai,vendré
tu viendras,vendrás
il viendra,vendrá
nous vendrons,venderemos
ils viendront,vendrán
vouloir,querer
il est en train de voulair,está queriendo
j'ai voulu,he querido
je veux,quiero
tu veux,quieres
il veut,quiere
nous voulons,queremos
ils veulent,quieren
I wanted,quise
you wanted,quisiste
he wanted,quiso
we wanted,quisimos
we wanted icecream,quisimos un helado
they wanted,quisieron
je voudrai,querré
tu voudras,querrás
il voudra,querrá
nous voudrons,querremos
ils voudront,querran
vous êtes sortis,ustedes están salido
je sors,salgo
je sortirai,saldré
tu sortiras,saldrás
il sortira,saldrá
nous sortirons,saldremos
ils sortiront,saldrán
I was,fui
you were,fuiste
he was,fue
we were,fuimos
they were,fueron
je suis (intemporel),soy
tu es (intemporel),eres
il est (intemporel),es
nous sommes (intemporel),somos
ils sont (intemporel),son
je serai,seré
tu seras,serás
il sera,sera
nous serons,seremos
ils seront,serán
j'ai été,he sido
j'ai eu,he tenido
j'ai,tengo
tu as,tienes
il a,tiene
nous avons,tenemos
ils ont,tienen
I had,tuve
you had,tuviste
he had,tuvo
we had,tuvimos
they had,tuvieron
j'aurai,tendré
tu auras,tendrás
il aura,tendrá
nous aurons,tendremos
ils auront,tendrán
il est en train de voir,está viendo
j'ai vu,he visto
je vois,veo
il voit,ve
tu vois,ves
nous voyons,vemos
ils voient,ven
I saw,vi
you saw,viste
he saw,vio
we saw,vimos
they saw,vieron
je verrai,veré
tu verras,verás
il verra,verá
nous verrons,veremos
ils verront,verán
